,correlation0,contrast0,homogeneity0,energy0,label
0,0.989901792937493,17.864717948718,0.326678619513844,0.035241217863701,KelasB
1,0.987383621389431,20.4591981351981,0.323079905525581,0.03542031300178,KelasB
2,0.987838206221082,21.0917296037296,0.31993846467417,0.034665625913048,KelasB
3,0.986925881265709,18.0216317016317,0.341969124596137,0.03763567151894,KelasB
4,0.989520695164817,18.565958041958,0.3302080205599,0.03469989479759,KelasB
5,0.987712432440295,19.5184242424242,0.336564634418203,0.036439025312605,KelasB
6,0.988759864869616,19.7542750582751,0.337476552905128,0.034957617861327,KelasB
7,0.985934024197489,18.1383403263403,0.343079022592195,0.037529886917188,KelasB
8,0.987312928822893,18.0452773892774,0.323369399799095,0.034758116569046,KelasA
9,0.987056793993509,17.836979020979,0.323591226337568,0.035367861369874,KelasA
10,0.979903468281947,23.8264988344988,0.316120731773212,0.037560988380799,KelasA
11,0.981977863025083,22.2843636363636,0.319720570299457,0.03714970945104,KelasA
12,0.985185584085445,19.8204289044289,0.31898253492828,0.035835161070797,KelasA
13,0.986686873297415,17.7667878787879,0.330116538209317,0.035167780177187,KelasA
14,0.983122075242903,20.1739207459207,0.328402201986332,0.037298714938845,KelasA
15,0.98617449853928,18.4319347319347,0.327002953158559,0.035398757657994,KelasA
16,0.969855909121347,28.7686526806527,0.31484672992055,0.039870487622077,KelasSuper
17,0.970708453921564,28.927627039627,0.326554723099998,0.040622875132568,KelasSuper
18,0.971439186997284,28.0349277389277,0.316210907093032,0.040803617277408,KelasSuper
19,0.972361836670415,26.2313846153846,0.298815221048065,0.040495502480109,KelasSuper
20,0.969457919414932,30.4717389277389,0.295087337189005,0.03899126511233,KelasSuper
21,0.9719596609912,30.5649603729604,0.310233563074392,0.03993282430963,KelasSuper
22,0.971143949469421,31.3787692307692,0.310843589506133,0.039089295842769,KelasSuper
23,0.97280636181187,26.0443076923077,0.330176169901158,0.040827782579029,KelasSuper
